aX,aY,aZ,gX,gY,gZ
1.074,0.969,0.461,-31.982,47.852,-95.459
1.065,0.953,0.468,-35.522,50.842,-99.060
1.045,0.957,0.485,-40.100,55.237,-101.501
1.058,0.974,0.502,-46.021,62.439,-105.103
1.050,0.990,0.504,-54.382,69.519,-110.718
1.020,0.990,0.499,-64.331,77.271,-118.408
0.981,0.949,0.469,-72.388,84.534,-128.113
0.926,0.906,0.448,-77.515,89.111,-138.367
0.893,0.856,0.430,-79.773,89.417,-149.170
0.863,0.817,0.411,-78.796,87.708,-158.752
0.847,0.792,0.409,-76.477,86.731,-165.894
0.826,0.785,0.397,-77.087,86.487,-170.593
0.800,0.786,0.401,-81.360,87.402,-174.622
0.775,0.781,0.414,-88.379,88.989,-178.528
0.709,0.780,0.393,-98.267,94.666,-181.580
0.715,0.734,0.461,-108.398,100.586,-185.486
0.617,0.720,0.403,-118.591,98.694,-189.331
0.607,0.684,0.379,-124.756,104.919,-193.542
0.605,0.644,0.341,-127.197,109.314,-201.233
0.501,0.588,0.343,-124.512,114.502,-208.313
0.409,0.489,0.314,-120.789,114.929,-220.032
0.386,0.363,0.262,-114.441,107.910,-234.558
0.334,0.240,0.248,-103.882,94.482,-248.291
0.320,0.150,0.229,-91.797,79.346,-258.301
0.337,0.079,0.204,-84.778,71.777,-261.475
0.327,0.016,0.238,-84.534,77.026,-255.188
0.347,0.006,0.269,-94.482,87.036,-243.286
0.277,-0.102,0.232,-110.474,93.872,-227.051
0.242,-0.146,0.192,-125.244,99.365,-214.783
0.210,-0.168,0.130,-132.385,102.539,-208.130
0.188,-0.198,0.083,-133.301,103.027,-204.285
0.160,-0.232,0.043,-131.165,98.328,-202.332
0.128,-0.270,0.028,-126.160,90.698,-201.477
0.125,-0.310,0.038,-120.056,82.092,-201.904
0.121,-0.367,0.045,-116.455,74.829,-201.477
0.079,-0.414,0.064,-115.417,71.411,-197.754

-0.714,-1.890,0.365,-114.136,54.810,-240.112
-0.809,-2.173,0.389,-110.779,60.059,-212.036
-0.862,-2.367,0.367,-99.915,59.387,-172.363
-0.876,-2.469,0.319,-86.426,53.406,-124.878
-0.852,-2.459,0.334,-73.120,42.603,-75.134
-0.830,-2.382,0.392,-61.768,26.367,-29.236
-0.768,-2.254,0.480,-53.650,9.521,8.057
-0.664,-2.115,0.578,-44.739,-2.502,35.583
-0.557,-2.021,0.657,-32.288,-10.986,54.993
-0.443,-1.944,0.695,-17.212,-16.785,71.167
-0.324,-1.841,0.692,-1.709,-20.203,85.205
-0.209,-1.721,0.647,13.367,-22.034,97.900
-0.089,-1.589,0.603,26.123,-23.437,108.704
0.009,-1.470,0.580,36.438,-24.658,117.126
0.094,-1.383,0.575,44.861,-26.062,122.437
0.170,-1.335,0.566,53.162,-26.855,125.427
0.226,-1.286,0.555,61.951,-27.527,126.404
0.240,-1.264,0.557,69.214,-28.137,125.977
0.247,-1.252,0.564,74.219,-27.283,123.962
0.228,-1.260,0.555,78.369,-26.123,121.277
0.187,-1.303,0.527,83.557,-25.696,118.042
0.131,-1.375,0.474,92.346,-28.259,116.577
0.120,-1.447,0.394,104.065,-32.104,118.347
0.140,-1.473,0.297,114.136,-35.767,125.793
0.172,-1.390,0.229,119.690,-34.912,142.944
0.238,-1.252,0.223,120.728,-28.748,166.260
0.249,-1.050,0.175,116.028,-21.667,189.514
0.289,-0.931,0.203,108.276,-10.193,210.205
0.310,-0.796,0.230,100.464,-3.479,219.055
0.259,-0.692,0.180,96.008,-5.676,217.102
0.214,-0.664,0.128,98.022,-9.216,207.275
0.154,-0.677,0.095,107.544,-12.695,192.993
0.092,-0.720,0.054,119.995,-20.325,178.162
0.093,-0.776,0.030,132.874,-30.884,169.434
0.112,-0.813,0.006,143.311,-41.809,173.767
0.134,-0.750,0.007,147.339,-49.438,190.674
0.172,-0.633,0.042,143.250,-51.880,215.942
0.192,-0.483,0.077,131.714,-50.537,242.920
0.221,-0.338,0.161,117.126,-44.617,265.686
0.232,-0.183,0.161,101.501,-38.696,280.945
0.236,-0.069,0.149,91.187,-32.593,285.889
0.207,-0.017,0.149,90.271,-26.917,279.541
0.204,-0.014,0.141,96.863,-26.428,265.747
0.277,-0.020,0.119,109.253,-31.372,251.099
0.319,0.018,0.115,121.399,-38.513,245.728
0.343,0.092,0.132,126.038,-44.739,248.230
0.407,0.179,0.168,123.718,-48.584,254.395
0.432,0.283,0.169,117.737,-50.110,260.193
0.442,0.372,0.176,112.244,-47.668,261.353
0.444,0.439,0.163,109.375,-43.701,255.249
0.443,0.455,0.143,108.765,-40.100,243.530
0.491,0.469,0.114,109.863,-39.490,225.647
0.520,0.454,0.056,111.511,-42.847,208.679
0.554,0.454,0.034,110.413,-46.204,200.073
0.577,0.491,0.035,105.164,-49.561,198.364
0.591,0.515,0.043,97.656,-54.382,198.730
0.610,0.527,0.068,90.637,-59.448,198.364
0.626,0.562,0.107,87.646,-64.636,195.435
0.618,0.568,0.127,87.830,-69.275,189.880
0.602,0.564,0.148,90.698,-71.533,178.833
0.593,0.541,0.158,96.741,-71.899,164.124
0.587,0.518,0.153,103.577,-71.289,149.963
0.588,0.502,0.146,106.934,-70.190,140.625
0.605,0.521,0.133,104.248,-69.214,138.062
0.633,0.558,0.138,97.351,-69.031,141.357
0.665,0.620,0.155,88.623,-69.946,146.606
0.700,0.677,0.190,80.627,-72.571,149.780
0.717,0.734,0.242,74.768,-74.036,149.170
0.743,0.769,0.292,72.083,-72.632,144.470
0.792,0.798,0.346,72.510,-68.970,136.475
0.864,0.819,0.395,75.867,-63.904,127.441
0.886,0.865,0.383,79.041,-59.814,119.202
0.991,0.985,0.398,78.491,-53.833,110.535
1.074,1.085,0.423,73.792,-48.706,102.905
1.132,1.157,0.453,62.439,-44.434,96.130
1.228,1.244,0.476,48.828,-38.330,86.609
1.252,1.276,0.479,37.781,-32.043,76.050
1.285,1.302,0.487,31.677,-25.635,62.866
1.315,1.319,0.503,30.273,-19.653,47.180
1.346,1.353,0.520,30.396,-14.038,30.945
1.384,1.389,0.540,29.297,-7.141,14.404
1.404,1.416,0.548,27.039,0.977,-1.343
1.409,1.437,0.539,21.484,11.353,-17.029
1.401,1.443,0.513,11.902,21.301,-33.447
1.351,1.415,0.492,-0.916,29.175,-49.561
1.300,1.370,0.469,-14.526,36.011,-65.796
1.227,1.294,0.434,-26.184,40.222,-81.299
1.152,1.211,0.394,-34.119,42.480,-96.313
1.088,1.156,0.361,-39.063,44.189,-109.863
1.029,1.108,0.358,-43.335,45.837,-120.422
1.009,1.077,0.361,-48.584,46.875,-129.028
