aX,aY,aZ,gX,gY,gZ
0.494,0.214,0.876,21.790,1.465,64.026
0.581,0.170,0.866,16.113,3.479,58.350
0.686,0.120,0.861,-3.723,8.911,53.101
0.641,0.052,0.879,-25.940,13.123,49.561
0.577,-0.044,0.925,-45.837,18.433,47.546
0.631,-0.158,0.936,-56.580,19.653,44.189
0.730,-0.286,0.968,-52.795,12.817,45.837
0.788,-0.240,1.026,-36.682,2.625,57.068
0.897,-0.094,1.087,-11.292,-5.615,70.618
1.008,0.076,1.136,12.756,-8.545,78.247
1.153,0.248,1.137,27.161,-6.042,78.979
1.262,0.350,1.058,31.433,1.038,76.965
1.359,0.388,0.923,31.006,11.353,69.580
1.398,0.382,0.789,29.541,17.334,59.204
1.344,0.389,0.655,29.968,17.883,49.377
1.267,0.392,0.558,30.212,14.832,39.185
1.185,0.395,0.506,25.635,6.042,28.748
1.103,0.387,0.508,17.273,-5.188,18.433
1.051,0.335,0.539,7.874,-18.555,8.118
1.012,0.320,0.592,-0.793,-32.104,-2.014
0.981,0.305,0.667,-7.019,-42.725,-12.878
0.945,0.285,0.762,-14.832,-49.927,-22.949
0.892,0.297,0.871,-27.283,-53.406,-30.884
0.849,0.254,0.981,-39.490,-52.673,-40.710
0.838,0.146,1.058,-49.561,-48.462,-49.316
0.865,0.036,1.113,-56.213,-43.213,-53.772
0.911,-0.051,1.133,-56.091,-39.490,-53.955
0.999,-0.091,1.116,-48.462,-37.537,-51.331
1.084,-0.063,1.091,-36.194,-36.743,-47.974
1.176,0.017,1.088,-22.339,-36.377,-45.227
1.249,0.091,1.074,-9.949,-36.011,-45.227
1.278,0.146,1.033,0.732,-35.095,-46.448
1.299,0.198,0.979,6.042,-35.034,-47.302
1.273,0.214,0.968,7.446,-40.344,-48.523
1.241,0.184,0.959,7.629,-52.063,-50.476
1.230,0.165,1.010,5.127,-65.186,-53.467
1.219,0.121,1.097,2.686,-80.566,-56.213
1.273,0.059,1.188,4.639,-95.764,-59.448
1.326,0.010,1.276,14.221,-104.919,-63.904
1.333,-0.019,1.298,28.809,-104.126,-69.702
1.300,-0.037,1.250,42.358,-92.285,-76.294
1.249,-0.049,1.099,51.758,-71.106,-81.360
1.108,-0.021,0.915,56.641,-45.410,-82.214
0.855,0.090,0.610,60.364,-21.973,-75.989
0.455,0.359,0.294,72.632,-5.127,-61.584
-0.138,0.770,-0.009,97.839,4.028,-46.997
-0.746,1.313,-0.346,125.916,6.409,-38.818
-1.672,1.767,-0.520,138.184,2.686,-40.344
-2.719,1.990,-0.436,117.126,-3.052,-58.716
-3.643,1.812,-0.327,51.575,-12.695,-87.952
-4.000,1.195,-0.143,-33.081,-27.649,-130.249
-4.000,0.387,0.101,-81.909,-49.805,-185.181
-4.000,-0.756,0.309,-65.491,-81.238,-241.638
-3.916,-1.703,0.621,-43.091,-122.070,-264.099
-2.988,-2.163,1.186,-62.073,-163.513,-213.135
-2.014,-2.026,1.864,-124.268,-204.834,-95.825
-1.388,-1.463,2.594,-167.603,-211.975,35.522
-0.955,-0.946,3.108,-143.921,-164.551,113.098
-0.750,-0.497,2.971,-83.191,-73.242,132.263
-0.731,-0.168,2.517,2.502,34.241,116.394
-0.946,0.062,1.948,91.431,122.681,98.206
-1.267,0.341,1.295,134.827,176.086,96.741
-1.481,0.677,0.789,127.441,205.078,107.666
-1.660,0.914,0.459,80.322,199.158,112.610

-1.636,0.784,0.276,-37.903,138.855,85.999
-1.494,0.541,0.296,-77.515,115.662,70.068
-1.389,0.313,0.363,-91.492,98.022,56.335
-1.241,0.172,0.456,-83.435,82.031,50.171
-1.065,0.074,0.584,-58.289,66.772,53.711
-0.902,0.053,0.707,-26.855,56.030,63.110
-0.768,0.120,0.794,2.441,49.194,72.083
-0.604,0.224,0.803,24.170,43.823,76.233
-0.422,0.276,0.799,33.691,38.391,78.796
-0.213,0.272,0.808,33.386,33.691,82.153
-0.081,0.248,0.849,23.499,30.579,85.571
-0.034,0.297,0.916,7.141,31.982,87.280
0.046,0.321,0.925,-4.944,36.316,83.923
0.120,0.261,0.969,-8.057,38.208,76.477
0.186,0.170,1.035,-7.202,39.490,71.960
0.274,0.173,1.034,-5.310,40.527,73.914
0.361,0.234,0.996,5.127,38.696,74.280
0.378,0.287,0.987,27.222,33.264,66.772
0.389,0.300,0.938,45.044,28.931,54.749
0.479,0.229,0.925,47.363,28.442,43.213
0.523,0.165,0.924,29.175,27.222,36.072
0.469,0.120,0.981,0.793,29.602,34.607
0.495,0.036,1.008,-22.034,36.255,35.400
0.541,0.002,1.004,-33.447,38.208,36.377
