aX,aY,aZ,gX,gY,gZ
0.077,0.231,2.241,-14.465,186.951,-14.404
0.068,0.230,2.171,-7.385,206.604,-9.094
0.043,0.210,2.263,6.714,217.285,-3.845
-0.001,0.197,2.486,16.479,223.267,-0.549
0.027,0.126,2.634,14.282,233.398,1.099
0.049,0.036,2.651,-4.211,249.878,0.305
0.001,-0.078,2.530,-32.959,271.484,0.427
-0.106,-0.130,2.370,-61.829,292.603,5.676
-0.402,-0.118,2.193,-84.167,315.002,13.550
-0.244,-0.141,1.694,-98.694,360.168,22.644
0.020,-0.322,1.498,-101.501,376.709,29.297
-0.325,-0.246,1.328,-114.502,361.450,29.968
-0.411,-0.225,1.087,-123.657,383.301,46.326
-0.708,-0.096,0.978,-117.737,395.325,65.063
-0.392,0.097,0.805,-105.591,410.950,72.876
-0.312,0.001,0.723,-84.778,405.823,71.289
-0.372,-0.077,0.689,-86.975,393.494,61.279
-0.410,-0.171,0.588,-117.737,385.620,53.894
-0.430,-0.195,0.343,-151.245,377.930,51.270
-0.428,-0.196,0.091,-164.124,375.183,52.429
-0.424,-0.146,-0.121,-156.128,371.277,55.115
-0.363,-0.048,-0.193,-136.902,361.084,59.448
-0.355,0.011,-0.154,-115.112,343.018,64.514
-0.247,0.074,-0.107,-104.736,320.984,67.261
